Air Canada,AC,ACA,AIR_CANADA,Aeroplan,Star Alliance,Montreal,QC,Canada,aircanada.com
Lufthansa,LH,DLH,LUFTHANSA,Miles & More,Star Alliance,Cologne,,Germany,lufthansa.com
